sent_pair_1,sent_pair_2,tag
"Chief_NNP Justice_NNP Roberts_NNP ,_, President_NNP Carter_NNP ,_, President_NNP Clinton_NNP ,_, President_NNP Bush_NNP ,_, President_NNP Obama_NNP ,_, fellow_JJ Americans_NNPS ,_, and_CC people_NNS of_IN the_DT world_NN :_:
"," Thank_VB you_PRP ._.
",F
" Thank_VB you_PRP ._.
","We_PRP ,_, the_DT citizens_NNS of_IN America_NNP ,_, are_VBP now_RB joined_VBN in_IN a_DT great_JJ national_JJ effort_NN to_TO rebuild_VB our_PRP$ country_NN and_CC restore_VB its_PRP$ promise_NN for_IN all_DT of_IN our_PRP$ people_NNS ._.
",F
"We_PRP ,_, the_DT citizens_NNS of_IN America_NNP ,_, are_VBP now_RB joined_VBN in_IN a_DT great_JJ national_JJ effort_NN to_TO rebuild_VB our_PRP$ country_NN and_CC restore_VB its_PRP$ promise_NN for_IN all_DT of_IN our_PRP$ people_NNS ._.
","Together_RB ,_, we_PRP will_MD determine_VB the_DT course_NN of_IN America_NNP and_CC the_DT world_NN for_IN many_JJ ,_, many_JJ years_NNS to_TO come_VB ._.
",F
"Together_RB ,_, we_PRP will_MD determine_VB the_DT course_NN of_IN America_NNP and_CC the_DT world_NN for_IN many_JJ ,_, many_JJ years_NNS to_TO come_VB ._.
","We_PRP will_MD face_VB challenges_NNS ,_, we_PRP will_MD confront_VB hardships_NNS ,_, but_CC we_PRP will_MD get_VB the_DT job_NN done_VBN ._.
",T
"We_PRP will_MD face_VB challenges_NNS ,_, we_PRP will_MD confront_VB hardships_NNS ,_, but_CC we_PRP will_MD get_VB the_DT job_NN done_VBN ._.
","Every_DT 4_CD years_NNS ,_, we_PRP gather_VBP on_IN these_DT steps_NNS to_TO carry_VB out_RP the_DT orderly_JJ and_CC peaceful_JJ transfer_NN of_IN power_NN ,_, and_CC we_PRP are_VBP grateful_JJ to_TO President_NNP Obama_NNP and_CC First_NNP Lady_NNP Michelle_NNP Obama_NNP for_IN their_PRP$ gracious_JJ aid_NN throughout_IN this_DT transition_NN ._.",F
"Every_DT 4_CD years_NNS ,_, we_PRP gather_VBP on_IN these_DT steps_NNS to_TO carry_VB out_RP the_DT orderly_JJ and_CC peaceful_JJ transfer_NN of_IN power_NN ,_, and_CC we_PRP are_VBP grateful_JJ to_TO President_NNP Obama_NNP and_CC First_NNP Lady_NNP Michelle_NNP Obama_NNP for_IN their_PRP$ gracious_JJ aid_NN throughout_IN this_DT transition_NN ._.","They_PRP have_VBP been_VBN magnificent_JJ ._.
",F
"They_PRP have_VBP been_VBN magnificent_JJ ._.
","Thank_VB you_PRP ._.
",F
"Thank_VB you_PRP ._.
","Today_NN 's_POS ceremony_NN ,_, however_RB ,_, has_VBZ very_RB special_JJ meaning_NN ._.
",F
"Today_NN 's_POS ceremony_NN ,_, however_RB ,_, has_VBZ very_RB special_JJ meaning_NN ._.
","Because_IN today_NN we_PRP are_VBP not_RB merely_RB transferring_VBG power_NN from_IN one_CD administration_NN to_TO another_DT or_CC from_IN one_CD party_NN to_TO another_DT ,_, but_CC we_PRP are_VBP transferring_VBG power_NN from_IN Washington_NNP ,_, DC_NNP ,_, and_CC giving_VBG it_PRP back_RB to_TO you_PRP ,_, the_DT people_NNS ._.
",F
"Because_IN today_NN we_PRP are_VBP not_RB merely_RB transferring_VBG power_NN from_IN one_CD administration_NN to_TO another_DT or_CC from_IN one_CD party_NN to_TO another_DT ,_, but_CC we_PRP are_VBP transferring_VBG power_NN from_IN Washington_NNP ,_, DC_NNP ,_, and_CC giving_VBG it_PRP back_RB to_TO you_PRP ,_, the_DT people_NNS ._.
","For_IN too_RB long_RB ,_, a_DT small_JJ group_NN in_IN our_PRP$ Nation_NNP 's_POS Capital_NNP has_VBZ reaped_VBN the_DT rewards_NNS of_IN Government_NN while_IN the_DT people_NNS have_VBP borne_VBN the_DT cost_NN ._.
",F
